Name,IntValue,StringValue,BooleanValue
,,4;150;20,
,,5;1;60,
,,5;130;45,
,,5;195;20,
,,6;1;120,
,,6;170;90,
,,6;255;40,
,,7;1;120,
,,7;210;90,
,,7;315;40,
,,8;1;120,
,,8;250;90,
,,8;375;40,
,,9;1;120,
,,9;300;90,
,,9;450;40,
,,10;1;120,
,,10;350;90,
,,10;525;40,
,,11;1;180,
,,11;410;135,
,,11;615;40,
,,12;1;180,
,,12;470;135,
,,12;705;40,
,,13;1;180,
,,13;550;135,
,,13;825;40,
,,14;1;180,
,,14;630;135,
,,14;945;40,
,,15;1;180,
,,15;710;135,
,,15;1065;40,
,,16;1;240,
,,16;810;135,
,,16;1215;40,
,,17;1;240,
,,17;910;135,
,,17;1365;40,
,,18;1;240,
,,18;1000;135,
,,18;1500;40,
,,19;1;240,
,,19;1000;135,
,,19;1500;40,
,,20;1;240,
,,20;1000;135,
,,20;1500;40,
,,21;1;240,
,,21;1000;135,
,,21;1500;40,
BonusRoundDiamondContinuePrices,,5,
,,10;15,
,,30;60;90,
MaxPiggyBankCoins,1200,,
BreakPiggyBankDiamondPrice,25,,
SanctuaryAnimalEscapeMinPassedEmptyNodes,6,,
,12,,
,18,,
SanctuaryAnimalEscapeMaxPassedEmptyNodes,20,,
,28,,
,36,,
SanctuaryAnimalEscapeImmunityEmptyNodes,6,,
,12,,
,18,,
SanctuaryAnimalAutoEscapeDelaySeconds,5000,,
SanctuaryFuelGeneratorInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5_SANCTUARY,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
SanctuaryFuelGeneratorInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4_SANCTUARY,
,,TID_VALLEY_INFO_5_SANCTUARY,
,,TID_VALLEY_INFO_6_SANCTUARY,
,,TID_VALLEY_INFO_7,
SanctuaryShopRewardsInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5_SANCTUARY,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
SanctuaryShopRewardsInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4_SANCTUARY,
,,TID_VALLEY_INFO_5_SANCTUARY,
,,TID_VALLEY_INFO_6_SANCTUARY,
,,TID_VALLEY_INFO_7,
SanctuaryDailyQuestsInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5_SANCTUARY,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
SanctuaryDailyQuestsInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4_SANCTUARY,
,,TID_VALLEY_INFO_5_SANCTUARY,
,,TID_VALLEY_INFO_6_SANCTUARY,
,,TID_VALLEY_INFO_7,
SanctuaryShopRewardsSeasonOverInfoTitle,,TID_MAP_GAME_PAUSED_NO_EVENT,
,,TID_MAP_GAME_PAUSED_NO_EVENT,
,,,
SanctuaryShopRewardsSeasonOverInfoText,,TID_VALLEY_END_INFO1,
,,TID_VALLEY_END_INFO2,
RoadSideSurpriseAutoCollectDelayMillis,5000,,
